myindex,sum
20150130_OI,-6100.0
20150130_PP,-6125.0
20150130_RB,-640.0
20150130_RM,760.0
20150130_RU,-1800.0
20150130_SR,-810.0
20150130_TA,300.0
20150130_YY,-6540.0
20150130_ZC,0.0
20150130_ZN,-5775.0
20150130_p,-5120.0
20150202_A,-4960.0
20150202_AG,-60.0
20150202_AL,9575.0
20150202_AU,-10400.03
20150202_BU,260.0
20150202_C,-1220.0
20150202_CF,3400.0
20150202_CS,1670.0
20150202_CU,3650.0
20150202_FG,-310.0
20150202_HC,-2200.0
20150202_I,-2300.0
20150202_J,-3900.0
20150202_JD,0.0
20150202_JM,4890.0
20150202_L,2600.0
20150202_M,-2350.0
20150202_MA,1620.0
20150202_OI,400.0
20150202_PP,7480.0
20150202_RB,-400.0
20150202_RM,-2310.0
20150202_RU,-3400.0
20150202_SR,-2870.0
20150202_TA,-1540.0
20150202_YY,-3100.0
20150202_ZC,0.0
20150202_ZN,-2550.0
20150202_p,-3380.0
20150203_A,-600.0
20150203_AG,0.0
20150203_AL,11500.0
20150203_AU,-27549.99
20150203_BU,2980.0
20150203_C,1240.0
20150203_CF,5875.0
20150203_CS,1560.0
20150203_CU,12400.0
20150203_FG,1760.0
20150203_HC,-190.0
20150203_I,-750.0
20150203_J,-2000.0
20150203_JD,0.0
20150203_JM,1920.0
20150203_L,5950.0
20150203_M,4920.0
20150203_MA,6790.0
20150203_OI,-3860.0
20150203_PP,18290.0
20150203_RB,610.0
20150203_RM,5890.0
20150203_RU,19200.0
20150203_SR,-2610.0
20150203_TA,-40.0
20150203_YY,-220.0
20150203_ZC,0.0
20150203_ZN,6975.0
20150203_p,-260.0
20150204_A,140.0
20150204_AG,445.0
20150204_AL,3500.0
20150204_AU,-25500.0
20150204_BU,-3520.0
20150204_C,2320.0
20150204_CF,-1325.0
20150204_CS,520.0
20150204_CU,-3500.0
20150204_FG,-1320.0
20150204_HC,170.0
20150204_I,-7850.0
20150204_J,-3000.0
20150204_JD,0.0
20150204_JM,-3000.0
20150204_L,-3575.0
20150204_M,-4210.0
20150204_MA,-4480.0
20150204_OI,-980.0
20150204_PP,-10430.0
20150204_RB,-2990.0
20150204_RM,-4040.0
20150204_RU,-8900.0
20150204_SR,-3900.0
20150204_TA,0.0
20150204_YY,0.0
20150204_ZC,0.0
20150204_ZN,-7550.0
20150204_p,0.0
20150205_A,-1680.0
20150205_AG,-495.0
20150205_AL,2300.0
20150205_AU,-12149.82
20150205_BU,-2580.0
20150205_C,-2140.0
20150205_CF,-6675.0
20150205_CS,970.0
20150205_CU,-2900.0
20150205_FG,-2330.0
20150205_HC,-1170.0
20150205_I,-3350.0
20150205_J,2150.0
20150205_JD,0.0
20150205_JM,270.0
20150205_L,-75.0
20150205_M,3580.0
20150205_MA,-120.0
20150205_OI,-1620.0
20150205_PP,-130.0
20150205_RB,570.0
20150205_RM,3120.0
20150205_RU,0.0
20150205_SR,-1520.0
20150205_TA,0.0
20150205_YY,1920.0
20150205_ZC,0.0
20150205_ZN,2000.0
20150205_p,3400.0
20150206_A,-260.0
20150206_AG,-5435.0
20150206_AL,400.0
20150206_AU,45749.94
20150206_BU,-1540.0
20150206_C,1060.0
20150206_CF,-2800.0
20150206_CS,1870.0
20150206_CU,0.0
20150206_FG,380.0
20150206_HC,1300.0
20150206_I,-5200.0
20150206_J,-2100.0
20150206_JD,-220.0
20150206_JM,-450.0
20150206_L,0.0
20150206_M,-1880.0
20150206_MA,0.0
20150206_OI,-2240.0
20150206_PP,0.0
20150206_RB,-1560.0
20150206_RM,-1440.0
20150206_RU,2900.0
20150206_SR,-6400.0
20150206_TA,-260.0
20150206_YY,-660.0
20150206_ZC,0.0
20150206_ZN,2050.0
20150206_p,-40.0
20150209_A,-3140.0
20150209_AG,-1380.0
20150209_AL,-5325.0
20150209_AU,-3199.98
20150209_BU,180.0
20150209_C,990.0
20150209_CF,2650.0
20150209_CS,3390.0
20150209_CU,0.0
20150209_FG,360.0
20150209_HC,-500.0
20150209_I,-1100.0
20150209_J,-2100.0
20150209_JD,110.0
20150209_JM,-4170.0
20150209_L,0.0
20150209_M,3400.0
20150209_MA,0.0
20150209_OI,-820.0
20150209_PP,0.0
20150209_RB,-1060.0
20150209_RM,3260.0
20150209_RU,0.0
20150209_SR,6590.0
20150209_TA,-130.0
20150209_YY,420.0
20150209_ZC,0.0
20150209_ZN,775.0
20150209_p,600.0
20150210_A,1310.0
20150210_AG,45.0
20150210_AL,-4000.0
20150210_AU,9850.07
20150210_BU,620.0
20150210_C,-950.0
20150210_CF,-4625.0
20150210_CS,-180.0
20150210_CU,-6700.0
20150210_FG,2530.0
20150210_HC,-740.0
20150210_I,550.0
20150210_J,-1700.0
20150210_JD,1100.0
20150210_JM,-2940.0
20150210_L,0.0
20150210_M,-2640.0
20150210_MA,90.0
20150210_OI,-2300.0
20150210_PP,205.0
20150210_RB,-710.0
20150210_RM,-2500.0
20150210_RU,-4300.0
20150210_SR,660.0
20150210_TA,-80.0
20150210_YY,-1820.0
20150210_ZC,0.0
20150210_ZN,-9775.0
20150210_p,-100.0
20150211_A,-2090.0
20150211_AG,1080.0
20150211_AL,475.0
20150211_AU,28850.02
20150211_BU,240.0
20150211_C,290.0
20150211_CF,575.0
20150211_CS,-1580.0
20150211_CU,650.0
20150211_FG,-390.0
20150211_HC,-180.0
20150211_I,-2900.0
20150211_J,-1700.0
20150211_JD,1755.0
20150211_JM,-270.0
20150211_L,250.0
20150211_M,440.0
20150211_MA,-140.0
20150211_OI,-180.0
20150211_PP,-500.0
20150211_RB,-1000.0
20150211_RM,180.0
20150211_RU,-2950.0
20150211_SR,6300.0
20150211_TA,-30.0
20150211_YY,-220.0
20150211_ZC,0.0
20150211_ZN,2075.0
20150211_p,-200.0
20150212_A,-220.0
20150212_AG,-2610.0
20150212_AL,-300.0
20150212_AU,-1849.97
20150212_BU,9920.0
20150212_C,-350.0
20150212_CF,-2700.0
20150212_CS,-780.0
20150212_CU,-21050.0
20150212_FG,1080.0
20150212_HC,1100.0
20150212_I,1300.0
20150212_J,-2300.0
20150212_JD,900.0
20150212_JM,-480.0
20150212_L,-1100.0
20150212_M,1400.0
20150212_MA,2340.0
20150212_OI,-6100.0
20150212_PP,1550.0
20150212_RB,930.0
20150212_RM,2980.0
20150212_RU,-7150.0
20150212_SR,1000.0
20150212_TA,-210.0
20150212_YY,440.0
20150212_ZC,0.0
20150212_ZN,-8400.0
20150212_p,1500.0
20150213_A,-6100.0
20150213_AG,25.0
20150213_AL,-225.0
20150213_AU,-12149.92
20150213_BU,11240.0
20150213_C,-460.0
20150213_CF,1725.0
20150213_CS,340.0
20150213_CU,8100.0
20150213_FG,-280.0
20150213_HC,2190.0
20150213_I,18650.0
20150213_J,3800.0
20150213_JD,-1485.0
20150213_JM,2760.0
20150213_L,2100.0
20150213_M,7040.0
20150213_MA,4810.0
20150213_OI,-1280.0
20150213_PP,4510.0
20150213_RB,6900.0
20150213_RM,7490.0
20150213_RU,41900.0
20150213_SR,-1460.0
20150213_TA,3940.0
20150213_YY,1820.0
20150213_ZC,0.0
20150213_ZN,-600.0
20150213_p,1740.0
20150216_A,-70.0
20150216_AG,370.0
20150216_AL,525.0
20150216_AU,-7549.9
20150216_BU,-5260.0
20150216_C,-130.0
20150216_CF,1575.0
20150216_CS,-170.0
20150216_CU,12150.0
20150216_FG,-450.0
20150216_HC,-1370.0
20150216_I,-2650.0
20150216_J,-7950.0
20150216_JD,475.0
20150216_JM,1770.0
20150216_L,300.0
20150216_M,-340.0
20150216_MA,-410.0
20150216_OI,-120.0
20150216_PP,810.0
20150216_RB,-3710.0
20150216_RM,880.0
20150216_RU,-22550.0
20150216_SR,-2120.0
20150216_TA,4510.0
20150216_YY,780.0
20150216_ZC,0.0
20150216_ZN,-2025.0
20150216_p,640.0
20150217_A,-1220.0
20150217_AG,-9030.0
20150217_AL,-1450.0
20150217_AU,32399.97
20150217_BU,-3340.0
20150217_C,320.0
20150217_CF,1400.0
20150217_CS,-1870.0
20150217_CU,-3350.0
20150217_FG,-730.0
20150217_HC,-1570.0
20150217_I,-6500.0
20150217_J,12800.0
20150217_JD,-1685.0
20150217_JM,-5400.0
20150217_L,300.0
20150217_M,7430.0
20150217_MA,-1590.0
20150217_OI,-4700.0
20150217_PP,-1595.0
20150217_RB,-3350.0
20150217_RM,7690.0
20150217_RU,-15150.0
20150217_SR,-3280.0
20150217_TA,-5260.0
20150217_YY,-6380.0
20150217_ZC,0.0
20150217_ZN,-19250.0
20150217_p,-5940.0
20150225_A,17430.0
20150225_AG,-1055.0
20150225_AL,4100.0
20150225_AU,5550.09
20150225_BU,-980.0
20150225_C,-1450.0
20150225_CF,4675.0
20150225_CS,270.0
20150225_CU,8850.0
20150225_FG,-1120.0
20150225_HC,-1390.0
20150225_I,800.0
20150225_J,-1300.0
20150225_JD,1805.0
20150225_JM,1380.0
20150225_L,-300.0
20150225_M,-620.0
20150225_MA,-380.0
20150225_OI,-8080.0
20150225_PP,-1540.0
20150225_RB,-770.0
20150225_RM,-190.0
20150225_RU,-23100.0
20150225_SR,5200.0
20150225_TA,-650.0
20150225_YY,-2640.0
20150225_ZC,0.0
20150225_ZN,4550.0
20150225_p,-1180.0
20150226_A,-2140.0
20150226_AG,-3045.0
20150226_AL,-2600.0
20150226_AU,-15850.02
20150226_BU,4300.0
20150226_C,130.0
20150226_CF,-1550.0
20150226_CS,-1860.0
20150226_CU,42400.0
20150226_FG,5160.0
20150226_HC,-2620.0
20150226_I,-6700.0
20150226_J,-2600.0
20150226_JD,4555.0
20150226_JM,-4140.0
20150226_L,1850.0
20150226_M,5310.0
20150226_MA,1900.0
20150226_OI,400.0
20150226_PP,805.0
20150226_RB,-1780.0
20150226_RM,6010.0
20150226_RU,16800.0
20150226_SR,-10990.0
20150226_TA,-210.0
20150226_YY,1280.0
20150226_ZC,0.0
20150226_ZN,-3050.0
20150226_p,-580.0
20150227_A,-3040.0
20150227_AG,-6300.0
20150227_AL,-2325.0
20150227_AU,-27850.0
20150227_BU,9140.0
20150227_C,580.0
20150227_CF,-4150.0
20150227_CS,-130.0
20150227_CU,5850.0
20150227_FG,-2060.0
20150227_HC,1690.0
20150227_I,-900.0
20150227_J,6600.0
20150227_JD,2445.0
20150227_JM,1620.0
20150227_L,1675.0
20150227_M,3160.0
20150227_MA,3210.0
20150227_OI,30820.0
20150227_PP,-1905.0
20150227_RB,4310.0
20150227_RM,9390.0
20150227_RU,-16100.0
20150227_SR,1350.0
20150227_TA,-740.0
20150227_YY,22960.0
20150227_ZC,0.0
20150227_ZN,-4575.0
20150227_p,15120.0
20150302_A,5150.0
20150302_AG,-14205.0
20150302_AL,700.0
20150302_AU,-8299.96
20150302_BU,9240.0
20150302_C,-340.0
20150302_CF,-2225.0
20150302_CS,-3110.0
20150302_CU,-7950.0
20150302_FG,-2440.0
20150302_HC,-220.0
20150302_I,-1350.0
20150302_J,-2700.0
20150302_JD,-740.0
20150302_JM,-1020.0
20150302_L,200.0
20150302_M,-6520.0
20150302_MA,2080.0
20150302_OI,-6780.0
20150302_PP,-230.0
20150302_RB,-3790.0
20150302_RM,-4990.0
20150302_RU,50.0
20150302_SR,5510.0
20150302_TA,4300.0
20150302_YY,-8100.0
20150302_ZC,0.0
20150302_ZN,1150.0
20150302_p,-5060.0
20150303_A,-1380.0
20150303_AG,-12155.0
20150303_AL,-1800.0
20150303_AU,-24150.08
20150303_BU,-7120.0
20150303_C,1170.0
20150303_CF,-4475.0
20150303_CS,-3850.0
20150303_CU,-18750.0
20150303_FG,-1390.0
20150303_HC,-560.0
20150303_I,-1350.0
20150303_J,0.0
20150303_JD,4500.0
20150303_JM,-2970.0
20150303_L,-700.0
20150303_M,-120.0
20150303_MA,-2210.0
20150303_OI,3680.0
20150303_PP,-640.0
20150303_RB,-270.0
20150303_RM,-160.0
20150303_RU,10050.0
20150303_SR,1250.0
20150303_TA,510.0
20150303_YY,-580.0
20150303_ZC,0.0
20150303_ZN,10925.0
20150303_p,1440.0
20150304_A,10380.0
20150304_AG,0.0
20150304_AL,50.0
20150304_AU,899.93
20150304_BU,620.0
20150304_C,-330.0
20150304_CF,2600.0
20150304_CS,-1060.0
20150304_CU,-450.0
20150304_FG,-5320.0
20150304_HC,2680.0
20150304_I,20850.0
20150304_J,18550.0
20150304_JD,-7560.0
20150304_JM,11040.0
20150304_L,50.0
20150304_M,440.0
20150304_MA,-50.0
20150304_OI,-19240.0
20150304_PP,-555.0
20150304_RB,2530.0
20150304_RM,0.0
20150304_RU,26450.0
20150304_SR,-13560.0
20150304_TA,-2840.0
20150304_YY,-12740.0
20150304_ZC,0.0
20150304_ZN,4525.0
20150304_p,-8080.0
20150305_A,5430.0
20150305_AG,265.0
20150305_AL,600.0
20150305_AU,10200.06
20150305_BU,-140.0
20150305_C,450.0
20150305_CF,-625.0
20150305_CS,-1000.0
20150305_CU,3250.0
20150305_FG,-1830.0
20150305_HC,790.0
20150305_I,5250.0
20150305_J,5700.0
20150305_JD,-270.0
20150305_JM,360.0
20150305_L,625.0
20150305_M,-60.0
20150305_MA,-460.0
20150305_OI,160.0
20150305_PP,730.0
20150305_RB,770.0
20150305_RM,0.0
20150305_RU,-8400.0
20150305_SR,-130.0
20150305_TA,970.0
20150305_YY,8320.0
20150305_ZC,0.0
20150305_ZN,8600.0
20150305_p,200.0
20150306_A,-2040.0
20150306_AG,1005.0
20150306_AL,3375.0
20150306_AU,77099.99
20150306_BU,-20.0
20150306_C,-210.0
20150306_CF,6325.0
20150306_CS,-1130.0
20150306_CU,12350.0
20150306_FG,330.0
20150306_HC,4160.0
20150306_I,6600.0
20150306_J,-1200.0
20150306_JD,715.0
20150306_JM,-600.0
20150306_L,500.0
20150306_M,-70.0
20150306_MA,0.0
20150306_OI,700.0
20150306_PP,1550.0
20150306_RB,6380.0
20150306_RM,0.0
20150306_RU,20850.0
20150306_SR,2490.0
20150306_TA,5030.0
20150306_YY,2780.0
20150306_ZC,0.0
20150306_ZN,2225.0
20150306_p,2480.0
20150309_A,2520.0
20150309_AG,175.0
20150309_AL,-1650.0
20150309_AU,1199.94
20150309_BU,0.0
20150309_C,-170.0
20150309_CF,-600.0
20150309_CS,-3820.0
20150309_CU,-14200.0
20150309_FG,1120.0
20150309_HC,2200.0
20150309_I,-3600.0
